Anio,Mes,Fecha,Canal,Categoria,Ingresos_EUR,Litros,Tipo_Dato
2022,1,2022-01-01,Hostelería (HORECA),Tarrinas,236603.47,36400.5,Real (base pública)
2022,2,2022-02-01,Hostelería (HORECA),Tarrinas,266845.61,41053.2,Real (base pública)
2022,3,2022-03-01,Hostelería (HORECA),Tarrinas,356225.23,54803.9,Real (base pública)
2022,4,2022-04-01,Hostelería (HORECA),Tarrinas,455825.27,70127.0,Real (base pública)
2022,5,2022-05-01,Hostelería (HORECA),Tarrinas,728749.98,112115.4,Real (base pública)
2022,6,2022-06-01,Hostelería (HORECA),Tarrinas,1006637.86,154867.4,Real (base pública)
2022,7,2022-07-01,Hostelería (HORECA),Tarrinas,1127179.83,173412.3,Real (base pública)
2022,8,2022-08-01,Hostelería (HORECA),Tarrinas,1159729.31,178419.9,Real (base pública)
2022,9,2022-09-01,Hostelería (HORECA),Tarrinas,740383.72,113905.2,Real (base pública)
2022,10,2022-10-01,Hostelería (HORECA),Tarrinas,443118.45,68172.1,Real (base pública)
2022,11,2022-11-01,Hostelería (HORECA),Tarrinas,301634.25,46405.3,Real (base pública)
2022,12,2022-12-01,Hostelería (HORECA),Tarrinas,290059.13,44624.5,Real (base pública)
2022,1,2022-01-01,Hostelería (HORECA),Bombones y Palo,209713.49,32263.7,Real (base pública)
2022,2,2022-02-01,Hostelería (HORECA),Bombones y Palo,251695.12,38722.3,Real (base pública)
2022,3,2022-03-01,Hostelería (HORECA),Bombones y Palo,283998.92,43692.2,Real (base pública)
2022,4,2022-04-01,Hostelería (HORECA),Bombones y Palo,437446.99,67299.5,Real (base pública)
2022,5,2022-05-01,Hostelería (HORECA),Bombones y Palo,609567.72,93779.7,Real (base pública)
2022,6,2022-06-01,Hostelería (HORECA),Bombones y Palo,804801.3,123815.6,Real (base pública)
2022,7,2022-07-01,Hostelería (HORECA),Bombones y Palo,984917.39,151525.7,Real (base pública)
2022,8,2022-08-01,Hostelería (HORECA),Bombones y Palo,861963.16,132609.7,Real (base pública)
2022,9,2022-09-01,Hostelería (HORECA),Bombones y Palo,623346.86,95899.5,Real (base pública)
2022,10,2022-10-01,Hostelería (HORECA),Bombones y Palo,403922.1,62141.8,Real (base pública)
2022,11,2022-11-01,Hostelería (HORECA),Bombones y Palo,275750.88,42423.2,Real (base pública)
2022,12,2022-12-01,Hostelería (HORECA),Bombones y Palo,227384.06,34982.1,Real (base pública)
2022,1,2022-01-01,Hostelería (HORECA),Postres y Tartas,155074.62,23857.7,Real (base pública)
2022,2,2022-02-01,Hostelería (HORECA),Postres y Tartas,175059.08,26932.1,Real (base pública)
2022,3,2022-03-01,Hostelería (HORECA),Postres y Tartas,262895.67,40445.5,Real (base pública)
2022,4,2022-04-01,Hostelería (HORECA),Postres y Tartas,328527.99,50542.8,Real (base pública)
2022,5,2022-05-01,Hostelería (HORECA),Postres y Tartas,454499.92,69923.1,Real (base pública)
2022,6,2022-06-01,Hostelería (HORECA),Postres y Tartas,644602.6,99169.7,Real (base pública)
2022,7,2022-07-01,Hostelería (HORECA),Postres y Tartas,757829.25,116589.1,Real (base pública)
2022,8,2022-08-01,Hostelería (HORECA),Postres y Tartas,771868.62,118749.1,Real (base pública)
2022,9,2022-09-01,Hostelería (HORECA),Postres y Tartas,467804.11,71969.9,Real (base pública)
2022,10,2022-10-01,Hostelería (HORECA),Postres y Tartas,300257.63,46193.5,Real (base pública)
2022,11,2022-11-01,Hostelería (HORECA),Postres y Tartas,193647.88,29792.0,Real (base pública)
2022,12,2022-12-01,Hostelería (HORECA),Postres y Tartas,166424.22,25603.7,Real (base pública)
2022,1,2022-01-01,Hostelería (HORECA),Cucuruchos/Sándwich,114800.22,17661.5,Real (base pública)
2022,2,2022-02-01,Hostelería (HORECA),Cucuruchos/Sándwich,127335.44,19590.1,Real (base pública)
2022,3,2022-03-01,Hostelería (HORECA),Cucuruchos/Sándwich,176017.67,27079.6,Real (base pública)
2022,4,2022-04-01,Hostelería (HORECA),Cucuruchos/Sándwich,223596.81,34399.5,Real (base pública)
2022,5,2022-05-01,Hostelería (HORECA),Cucuruchos/Sándwich,303678.79,46719.8,Real (base pública)
2022,6,2022-06-01,Hostelería (HORECA),Cucuruchos/Sándwich,430678.92,66258.3,Real (base pública)
2022,7,2022-07-01,Hostelería (HORECA),Cucuruchos/Sándwich,518871.76,79826.4,Real (base pública)
2022,8,2022-08-01,Hostelería (HORECA),Cucuruchos/Sándwich,494675.93,76104.0,Real (base pública)
2022,9,2022-09-01,Hostelería (HORECA),Cucuruchos/Sándwich,336639.05,51790.6,Real (base pública)
2022,10,2022-10-01,Hostelería (HORECA),Cucuruchos/Sándwich,217998.01,33538.1,Real (base pública)
2022,11,2022-11-01,Hostelería (HORECA),Cucuruchos/Sándwich,151303.85,23277.5,Real (base pública)
2022,12,2022-12-01,Hostelería (HORECA),Cucuruchos/Sándwich,126791.94,19506.4,Real (base pública)
2022,1,2022-01-01,Hostelería (HORECA),Yogur helado,81844.34,12591.5,Real (base pública)
2022,2,2022-02-01,Hostelería (HORECA),Yogur helado,89447.78,13761.2,Real (base pública)
2022,3,2022-03-01,Hostelería (HORECA),Yogur helado,113635.8,17482.4,Real (base pública)
2022,4,2022-04-01,Hostelería (HORECA),Yogur helado,161393.32,24829.8,Real (base pública)
2022,5,2022-05-01,Hostelería (HORECA),Yogur helado,234136.13,36021.0,Real (base pública)
2022,6,2022-06-01,Hostelería (HORECA),Yogur helado,352939.0,54298.3,Real (base pública)
2022,7,2022-07-01,Hostelería (HORECA),Yogur helado,373457.49,57455.0,Real (base pública)
2022,8,2022-08-01,Hostelería (HORECA),Yogur helado,373656.18,57485.5,Real (base pública)
2022,9,2022-09-01,Hostelería (HORECA),Yogur helado,241990.61,37229.3,Real (base pública)
2022,10,2022-10-01,Hostelería (HORECA),Yogur helado,143710.63,22109.3,Real (base pública)
2022,11,2022-11-01,Hostelería (HORECA),Yogur helado,104403.44,16062.0,Real (base pública)
2022,12,2022-12-01,Hostelería (HORECA),Yogur helado,93157.48,14331.9,Real (base pública)
2022,1,2022-01-01,Exportación,Tarrinas,184799.33,48631.4,Real (base pública)
2022,2,2022-02-01,Exportación,Tarrinas,188539.22,49615.6,Real (base pública)
2022,3,2022-03-01,Exportación,Tarrinas,295924.12,77874.7,Real (base pública)
2022,4,2022-04-01,Exportación,Tarrinas,330616.16,87004.3,Real (base pública)
2022,5,2022-05-01,Exportación,Tarrinas,528622.02,139111.1,Real (base pública)
2022,6,2022-06-01,Exportación,Tarrinas,767036.65,201851.8,Real (base pública)
2022,7,2022-07-01,Exportación,Tarrinas,788498.74,207499.7,Real (base pública)
2022,8,2022-08-01,Exportación,Tarrinas,786903.09,207079.8,Real (base pública)
2022,9,2022-09-01,Exportación,Tarrinas,535962.18,141042.7,Real (base pública)
2022,10,2022-10-01,Exportación,Tarrinas,327331.62,86139.9,Real (base pública)
2022,11,2022-11-01,Exportación,Tarrinas,200426.56,52743.9,Real (base pública)
2022,12,2022-12-01,Exportación,Tarrinas,198197.47,52157.2,Real (base pública)
2022,1,2022-01-01,Exportación,Bombones y Palo,145882.64,38390.1,Real (base pública)
2022,2,2022-02-01,Exportación,Bombones y Palo,175237.88,46115.3,Real (base pública)
2022,3,2022-03-01,Exportación,Bombones y Palo,228640.65,60168.5,Real (base pública)
2022,4,2022-04-01,Exportación,Bombones y Palo,332010.94,87371.3,Real (base pública)
2022,5,2022-05-01,Exportación,Bombones y Palo,427648.7,112539.1,Real (base pública)
2022,6,2022-06-01,Exportación,Bombones y Palo,589496.98,155130.8,Real (base pública)
2022,7,2022-07-01,Exportación,Bombones y Palo,748218.96,196899.7,Real (base pública)
2022,8,2022-08-01,Exportación,Bombones y Palo,658661.19,173331.8,Real (base pública)
2022,9,2022-09-01,Exportación,Bombones y Palo,467454.19,123014.2,Real (base pública)
2022,10,2022-10-01,Exportación,Bombones y Palo,310033.12,81587.7,Real (base pública)
2022,11,2022-11-01,Exportación,Bombones y Palo,173168.06,45570.5,Real (base pública)
2022,12,2022-12-01,Exportación,Bombones y Palo,172764.62,45464.3,Real (base pública)
2022,1,2022-01-01,Exportación,Postres y Tartas,120052.17,31592.6,Real (base pública)
2022,2,2022-02-01,Exportación,Postres y Tartas,136827.77,36007.3,Real (base pública)
2022,3,2022-03-01,Exportación,Postres y Tartas,172950.59,45513.3,Real (base pública)
2022,4,2022-04-01,Exportación,Postres y Tartas,221375.4,58256.7,Real (base pública)
2022,5,2022-05-01,Exportación,Postres y Tartas,351303.43,92448.3,Real (base pública)
2022,6,2022-06-01,Exportación,Postres y Tartas,467724.54,123085.4,Real (base pública)
2022,7,2022-07-01,Exportación,Postres y Tartas,559983.82,147364.2,Real (base pública)
2022,8,2022-08-01,Exportación,Postres y Tartas,549241.13,144537.2,Real (base pública)
2022,9,2022-09-01,Exportación,Postres y Tartas,343447.94,90381.1,Real (base pública)
2022,10,2022-10-01,Exportación,Postres y Tartas,226455.97,59593.6,Real (base pública)
2022,11,2022-11-01,Exportación,Postres y Tartas,146970.81,38676.5,Real (base pública)
2022,12,2022-12-01,Exportación,Postres y Tartas,126976.94,33415.0,Real (base pública)
2022,1,2022-01-01,Exportación,Cucuruchos/Sándwich,90697.64,23867.8,Real (base pública)
2022,2,2022-02-01,Exportación,Cucuruchos/Sándwich,94359.97,24831.6,Real (base pública)
2022,3,2022-03-01,Exportación,Cucuruchos/Sándwich,121359.94,31936.8,Real (base pública)
2022,4,2022-04-01,Exportación,Cucuruchos/Sándwich,171363.77,45095.7,Real (base pública)
2022,5,2022-05-01,Exportación,Cucuruchos/Sándwich,227978.51,59994.3,Real (base pública)
2022,6,2022-06-01,Exportación,Cucuruchos/Sándwich,335312.9,88240.2,Real (base pública)
2022,7,2022-07-01,Exportación,Cucuruchos/Sándwich,409566.81,107780.7,Real (base pública)
2022,8,2022-08-01,Exportación,Cucuruchos/Sándwich,362414.56,95372.3,Real (base pública)
2022,9,2022-09-01,Exportación,Cucuruchos/Sándwich,260863.68,68648.4,Real (base pública)
2022,10,2022-10-01,Exportación,Cucuruchos/Sándwich,159933.61,42087.8,Real (base pública)
2022,11,2022-11-01,Exportación,Cucuruchos/Sándwich,105561.37,27779.3,Real (base pública)
2022,12,2022-12-01,Exportación,Cucuruchos/Sándwich,100918.11,26557.4,Real (base pública)
2022,1,2022-01-01,Exportación,Yogur helado,58529.07,15402.4,Real (base pública)
2022,2,2022-02-01,Exportación,Yogur helado,63358.82,16673.4,Real (base pública)
2022,3,2022-03-01,Exportación,Yogur helado,88076.56,23178.1,Real (base pública)
2022,4,2022-04-01,Exportación,Yogur helado,113678.04,29915.3,Real (base pública)
2022,5,2022-05-01,Exportación,Yogur helado,170524.37,44874.8,Real (base pública)
2022,6,2022-06-01,Exportación,Yogur helado,234371.17,61676.7,Real (base pública)
2022,7,2022-07-01,Exportación,Yogur helado,280354.13,73777.4,Real (base pública)
2022,8,2022-08-01,Exportación,Yogur helado,281109.15,73976.1,Real (base pública)
2022,9,2022-09-01,Exportación,Yogur helado,177883.88,46811.5,Real (base pública)
2022,10,2022-10-01,Exportación,Yogur helado,120062.77,31595.5,Real (base pública)
2022,11,2022-11-01,Exportación,Yogur helado,71465.75,18806.7,Real (base pública)
2022,12,2022-12-01,Exportación,Yogur helado,74794.93,19682.8,Real (base pública)
2022,1,2022-01-01,Heladerías propias,Tarrinas,83331.59,9259.1,Real (base pública)
2022,2,2022-02-01,Heladerías propias,Tarrinas,85934.11,9548.3,Real (base pública)
2022,3,2022-03-01,Heladerías propias,Tarrinas,118964.49,13218.3,Real (base pública)
2022,4,2022-04-01,Heladerías propias,Tarrinas,165506.11,18389.6,Real (base pública)
2022,5,2022-05-01,Heladerías propias,Tarrinas,230824.96,25647.2,Real (base pública)
2022,6,2022-06-01,Heladerías propias,Tarrinas,325455.18,36161.6,Real (base pública)
2022,7,2022-07-01,Heladerías propias,Tarrinas,386006.83,42889.7,Real (base pública)
2022,8,2022-08-01,Heladerías propias,Tarrinas,366765.66,40751.8,Real (base pública)
2022,9,2022-09-01,Heladerías propias,Tarrinas,232147.72,25794.2,Real (base pública)
2022,10,2022-10-01,Heladerías propias,Tarrinas,141068.85,15674.3,Real (base pública)
2022,11,2022-11-01,Heladerías propias,Tarrinas,96555.28,10728.4,Real (base pública)
2022,12,2022-12-01,Heladerías propias,Tarrinas,93626.43,10402.9,Real (base pública)
2022,1,2022-01-01,Heladerías propias,Bombones y Palo,70779.59,7864.4,Real (base pública)
2022,2,2022-02-01,Heladerías propias,Bombones y Palo,72964.43,8107.2,Real (base pública)
2022,3,2022-03-01,Heladerías propias,Bombones y Palo,109878.75,12208.7,Real (base pública)
2022,4,2022-04-01,Heladerías propias,Bombones y Palo,142758.26,15862.1,Real (base pública)
2022,5,2022-05-01,Heladerías propias,Bombones y Palo,193368.12,21485.4,Real (base pública)
2022,6,2022-06-01,Heladerías propias,Bombones y Palo,274431.93,30492.4,Real (base pública)
2022,7,2022-07-01,Heladerías propias,Bombones y Palo,327757.54,36417.6,Real (base pública)
2022,8,2022-08-01,Heladerías propias,Bombones y Palo,300793.47,33421.5,Real (base pública)
2022,9,2022-09-01,Heladerías propias,Bombones y Palo,213848.2,23760.9,Real (base pública)
2022,10,2022-10-01,Heladerías propias,Bombones y Palo,135987.77,15109.8,Real (base pública)
2022,11,2022-11-01,Heladerías propias,Bombones y Palo,90227.19,10025.3,Real (base pública)
2022,12,2022-12-01,Heladerías propias,Bombones y Palo,81910.91,9101.2,Real (base pública)
2022,1,2022-01-01,Heladerías propias,Postres y Tartas,50158.49,5573.2,Real (base pública)
2022,2,2022-02-01,Heladerías propias,Postres y Tartas,57048.0,6338.7,Real (base pública)
2022,3,2022-03-01,Heladerías propias,Postres y Tartas,85954.42,9550.5,Real (base pública)
2022,4,2022-04-01,Heladerías propias,Postres y Tartas,110506.1,12278.5,Real (base pública)
2022,5,2022-05-01,Heladerías propias,Postres y Tartas,159629.73,17736.6,Real (base pública)
2022,6,2022-06-01,Heladerías propias,Postres y Tartas,249846.96,27760.8,Real (base pública)
2022,7,2022-07-01,Heladerías propias,Postres y Tartas,258565.33,28729.5,Real (base pública)
2022,8,2022-08-01,Heladerías propias,Postres y Tartas,259337.69,28815.3,Real (base pública)
2022,9,2022-09-01,Heladerías propias,Postres y Tartas,169316.25,18812.9,Real (base pública)
2022,10,2022-10-01,Heladerías propias,Postres y Tartas,105066.96,11674.1,Real (base pública)
2022,11,2022-11-01,Heladerías propias,Postres y Tartas,64802.25,7200.2,Real (base pública)
2022,12,2022-12-01,Heladerías propias,Postres y Tartas,62126.04,6902.9,Real (base pública)
2022,1,2022-01-01,Heladerías propias,Cucuruchos/Sándwich,36251.33,4028.0,Real (base pública)
2022,2,2022-02-01,Heladerías propias,Cucuruchos/Sándwich,41402.14,4600.3,Real (base pública)
2022,3,2022-03-01,Heladerías propias,Cucuruchos/Sándwich,57234.05,6359.4,Real (base pública)
2022,4,2022-04-01,Heladerías propias,Cucuruchos/Sándwich,75725.6,8413.9,Real (base pública)
2022,5,2022-05-01,Heladerías propias,Cucuruchos/Sándwich,121542.88,13504.7,Real (base pública)
2022,6,2022-06-01,Heladerías propias,Cucuruchos/Sándwich,132952.74,14772.5,Real (base pública)
2022,7,2022-07-01,Heladerías propias,Cucuruchos/Sándwich,182010.83,20223.4,Real (base pública)
2022,8,2022-08-01,Heladerías propias,Cucuruchos/Sándwich,157931.0,17547.9,Real (base pública)
2022,9,2022-09-01,Heladerías propias,Cucuruchos/Sándwich,110455.92,12272.9,Real (base pública)
2022,10,2022-10-01,Heladerías propias,Cucuruchos/Sándwich,75105.17,8345.0,Real (base pública)
2022,11,2022-11-01,Heladerías propias,Cucuruchos/Sándwich,46236.21,5137.3,Real (base pública)
2022,12,2022-12-01,Heladerías propias,Cucuruchos/Sándwich,39640.47,4404.5,Real (base pública)
2022,1,2022-01-01,Heladerías propias,Yogur helado,25971.28,2885.7,Real (base pública)
2022,2,2022-02-01,Heladerías propias,Yogur helado,30944.25,3438.2,Real (base pública)
2022,3,2022-03-01,Heladerías propias,Yogur helado,40368.2,4485.3,Real (base pública)
2022,4,2022-04-01,Heladerías propias,Yogur helado,54452.21,6050.2,Real (base pública)
2022,5,2022-05-01,Heladerías propias,Yogur helado,77988.35,8665.4,Real (base pública)
2022,6,2022-06-01,Heladerías propias,Yogur helado,101333.02,11259.2,Real (base pública)
2022,7,2022-07-01,Heladerías propias,Yogur helado,139168.9,15463.2,Real (base pública)
2022,8,2022-08-01,Heladerías propias,Yogur helado,126591.19,14065.7,Real (base pública)
2022,9,2022-09-01,Heladerías propias,Yogur helado,72621.82,8069.1,Real (base pública)
2022,10,2022-10-01,Heladerías propias,Yogur helado,51350.76,5705.6,Real (base pública)
2022,11,2022-11-01,Heladerías propias,Yogur helado,31830.75,3536.7,Real (base pública)
2022,12,2022-12-01,Heladerías propias,Yogur helado,31202.88,3467.0,Real (base pública)
2023,1,2023-01-01,Supermercados,Tarrinas,480496.53,114403.9,Real (base pública)
2023,2,2023-02-01,Supermercados,Tarrinas,552724.51,131601.1,Real (base pública)
2023,3,2023-03-01,Supermercados,Tarrinas,797930.22,189983.4,Real (base pública)
2023,4,2023-04-01,Supermercados,Tarrinas,1043960.31,248562.0,Real (base pública)
2023,5,2023-05-01,Supermercados,Tarrinas,1358631.64,323483.7,Real (base pública)
2023,6,2023-06-01,Supermercados,Tarrinas,1913155.99,455513.4,Real (base pública)
2023,7,2023-07-01,Supermercados,Tarrinas,2279391.49,542712.3,Real (base pública)
2023,8,2023-08-01,Supermercados,Tarrinas,2204791.22,524950.3,Real (base pública)
2023,9,2023-09-01,Supermercados,Tarrinas,1633461.39,388919.3,Real (base pública)
2023,10,2023-10-01,Supermercados,Tarrinas,964189.74,229568.9,Real (base pública)
2023,11,2023-11-01,Supermercados,Tarrinas,572953.21,136417.4,Real (base pública)
2023,12,2023-12-01,Supermercados,Tarrinas,581426.29,138434.9,Real (base pública)
2023,1,2023-01-01,Supermercados,Bombones y Palo,479622.36,114195.8,Real (base pública)
2023,2,2023-02-01,Supermercados,Bombones y Palo,506663.54,120634.2,Real (base pública)
2023,3,2023-03-01,Supermercados,Bombones y Palo,623267.2,148397.0,Real (base pública)
2023,4,2023-04-01,Supermercados,Bombones y Palo,846228.35,201483.0,Real (base pública)
2023,5,2023-05-01,Supermercados,Bombones y Palo,1332009.22,317145.0,Real (base pública)
2023,6,2023-06-01,Supermercados,Bombones y Palo,1626605.38,387287.0,Real (base pública)
2023,7,2023-07-01,Supermercados,Bombones y Palo,2068429.83,492483.3,Real (base pública)
2023,8,2023-08-01,Supermercados,Bombones y Palo,2051855.18,488536.9,Real (base pública)
2023,9,2023-09-01,Supermercados,Bombones y Palo,1240548.71,295368.7,Real (base pública)
2023,10,2023-10-01,Supermercados,Bombones y Palo,816608.47,194430.5,Real (base pública)
2023,11,2023-11-01,Supermercados,Bombones y Palo,444082.15,105733.9,Real (base pública)
2023,12,2023-12-01,Supermercados,Bombones y Palo,457114.78,108836.9,Real (base pública)
2023,1,2023-01-01,Supermercados,Postres y Tartas,329336.03,78413.4,Real (base pública)
2023,2,2023-02-01,Supermercados,Postres y Tartas,347487.13,82735.0,Real (base pública)
2023,3,2023-03-01,Supermercados,Postres y Tartas,561201.84,133619.4,Real (base pública)
2023,4,2023-04-01,Supermercados,Postres y Tartas,619394.31,147474.8,Real (base pública)
2023,5,2023-05-01,Supermercados,Postres y Tartas,942382.74,224376.9,Real (base pública)
2023,6,2023-06-01,Supermercados,Postres y Tartas,1305611.33,310859.8,Real (base pública)
2023,7,2023-07-01,Supermercados,Postres y Tartas,1668729.63,397316.6,Real (base pública)
2023,8,2023-08-01,Supermercados,Postres y Tartas,1410407.97,335811.4,Real (base pública)
2023,9,2023-09-01,Supermercados,Postres y Tartas,1058840.32,252104.8,Real (base pública)
2023,10,2023-10-01,Supermercados,Postres y Tartas,630357.87,150085.2,Real (base pública)
2023,11,2023-11-01,Supermercados,Postres y Tartas,387663.46,92300.8,Real (base pública)
2023,12,2023-12-01,Supermercados,Postres y Tartas,379172.11,90279.1,Real (base pública)
2023,1,2023-01-01,Supermercados,Cucuruchos/Sándwich,235807.61,56144.7,Real (base pública)
2023,2,2023-02-01,Supermercados,Cucuruchos/Sándwich,251640.79,59914.5,Real (base pública)
2023,3,2023-03-01,Supermercados,Cucuruchos/Sándwich,364464.54,86777.3,Real (base pública)
2023,4,2023-04-01,Supermercados,Cucuruchos/Sándwich,457971.06,109040.8,Real (base pública)
2023,5,2023-05-01,Supermercados,Cucuruchos/Sándwich,678337.03,161508.8,Real (base pública)
2023,6,2023-06-01,Supermercados,Cucuruchos/Sándwich,938052.84,223345.9,Real (base pública)
2023,7,2023-07-01,Supermercados,Cucuruchos/Sándwich,1175996.3,279999.1,Real (base pública)
2023,8,2023-08-01,Supermercados,Cucuruchos/Sándwich,997818.18,237575.8,Real (base pública)
2023,9,2023-09-01,Supermercados,Cucuruchos/Sándwich,775155.54,184560.8,Real (base pública)
2023,10,2023-10-01,Supermercados,Cucuruchos/Sándwich,397978.9,94756.9,Real (base pública)
2023,11,2023-11-01,Supermercados,Cucuruchos/Sándwich,283203.29,67429.3,Real (base pública)
2023,12,2023-12-01,Supermercados,Cucuruchos/Sándwich,267057.64,63585.2,Real (base pública)
2023,1,2023-01-01,Supermercados,Yogur helado,169117.21,40266.0,Real (base pública)
2023,2,2023-02-01,Supermercados,Yogur helado,179535.11,42746.4,Real (base pública)
2023,3,2023-03-01,Supermercados,Yogur helado,256726.76,61125.4,Real (base pública)
2023,4,2023-04-01,Supermercados,Yogur helado,325326.24,77458.7,Real (base pública)
2023,5,2023-05-01,Supermercados,Yogur helado,467594.31,111332.0,Real (base pública)
2023,6,2023-06-01,Supermercados,Yogur helado,676117.13,160980.2,Real (base pública)
2023,7,2023-07-01,Supermercados,Yogur helado,792172.05,188612.4,Real (base pública)
2023,8,2023-08-01,Supermercados,Yogur helado,733426.85,174625.4,Real (base pública)
2023,9,2023-09-01,Supermercados,Yogur helado,522826.81,124482.5,Real (base pública)
2023,10,2023-10-01,Supermercados,Yogur helado,319858.0,76156.6,Real (base pública)
